COUNTYNAME,COUNTYID,COUNTYCODE,WIKIDATA,MS_FB_PARE,MS_FB,name_zh
高雄市,E,64000,Q16929476,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第九選舉區,高雄市第九選舉區
高雄市,E,64000,Q16929481,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第四選舉區,高雄市第四選舉區
高雄市,E,64000,Q16929473,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第一選舉區,高雄市第一選舉區
高雄市,E,64000,Q16929477,country:tw/special-municipality:khh,country:tw/special-municipality:khh/constituency:高雄市第二選舉區,高雄市第二選舉區
苗栗縣,K,10005,Q15921474,country:tw/county:mia,country:tw/county:mia/constituency:苗栗縣第二選舉區,苗栗縣第二選舉區
苗栗縣,K,10005,Q15920178,country:tw/county:mia,country:tw/county:mia/constituency:苗栗縣第一選舉區,苗栗縣第一選舉區
連江縣,Z,09007,Q19432864,country:tw/county:lie,country:tw/county:lie/constituency:連江縣選舉區,連江縣選舉區
花蓮縣,Z,09007,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
臺中市,B,66000,Q15886536,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第一選舉區,臺中市第一選舉區
臺中市,B,66000,Q16929241,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第五選舉區,臺中市第五選舉區
臺中市,B,66000,Q15886139,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第四選舉區,臺中市第四選舉區
臺中市,B,66000,Q15886553,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第三選舉區,臺中市第三選舉區
臺中市,B,66000,Q16929243,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第六選舉區,臺中市第六選舉區
臺中市,B,66000,Q16929242,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第八選舉區,臺中市第八選舉區
臺中市,B,66000,Q15886544,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第二選舉區,臺中市第二選舉區
臺中市,B,66000,Q16929240,country:tw/special-municipality:txg,country:tw/special-municipality:txg/constituency:臺中市第七選舉區,臺中市第七選舉區
花蓮縣,B,66000,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
花蓮縣,C,10017,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
基隆市,C,10017,Q17023592,country:tw/city:kee,country:tw/city:kee/constituency:基隆市選舉區,基隆市選舉區
金門縣,W,09020,Q19432865,country:tw/county:kin,country:tw/county:kin/constituency:金門縣選舉區,金門縣選舉區
嘉義市,I,10020,Q10924121,country:tw/city:cyi,country:tw/city:cyi/constituency:嘉義市選舉區,嘉義市選舉區
嘉義縣,Q,10010,Q17023495,country:tw/county:cyq,country:tw/county:cyq/constituency:嘉義縣第一選舉區,嘉義縣第一選舉區
嘉義縣,Q,10010,Q17023496,country:tw/county:cyq,country:tw/county:cyq/constituency:嘉義縣第二選舉區,嘉義縣第二選舉區
花蓮縣,Q,10010,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
南投縣,M,10008,Q19432862,country:tw/county:nan,country:tw/county:nan/constituency:南投縣第一選舉區,南投縣第一選舉區
南投縣,M,10008,Q10907926,country:tw/county:nan,country:tw/county:nan/constituency:南投縣第二選舉區,南投縣第二選舉區
臺南市,D,67000,Q17022795,country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/constituency:臺南市第二選舉區,臺南市第二選舉區
臺南市,D,67000,Q16929264,country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/constituency:臺南市第三選舉區,臺南市第三選舉區
臺南市,D,67000,Q15944591,country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/constituency:臺南市第一選舉區,臺南市第一選舉區
臺南市,D,67000,Q16928859,country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/constituency:臺南市第五選舉區,臺南市第五選舉區
臺南市,D,67000,Q16929265,country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/constituency:臺南市第四選舉區,臺南市第四選舉區
花蓮縣,U,10015,missing,country:tw/county:hua,country:tw/county:hua/constituency:,
花蓮縣,U,10015,Q17029209,country:tw/county:hua,country:tw/county:hua/constituency:花蓮縣選舉區,花蓮縣選舉區
